677,348,18,13
660,352,18,13
664,349,18,13
673,356,18,13
659,355,18,13
649,353,18,13
648,348,16,14
633,349,17,13
617,344,17,13
616,353,17,13
589,352,17,13
573,345,17,13
569,346,17,13
556,351,17,12
541,355,17,12
528,357,17,12
511,355,17,12
498,361,17,12
490,358,17,13
480,358,17,13
476,351,17,13
455,353,17,13
454,351,17,13
442,359,17,13
432,357,16,13
421,359,16,13
407,350,16,13
414,354,16,13
401,355,16,14
409,353,16,14
398,351,15,14
400,347,15,14
384,343,15,14
385,346,16,14
378,340,16,15
380,338,16,15
383,349,16,15
398,337,16,15
404,343,17,16
423,345,17,16
427,337,18,16
438,340,18,16
456,339,19,16
468,339,19,16
485,350,19,17
493,344,19,17
506,346,20,17
519,351,20,17
531,370,20,17
539,364,20,17
550,374,19,17
548,381,19,17
563,374,18,17
571,384,18,17
568,389,18,17
569,385,17,17
571,397,18,17
581,390,18,17
577,387,18,16
575,406,18,16
571,404,18,16
572,406,18,17
569,406,18,17
576,412,18,18
572,422,19,18
575,422,19,18
573,429,18,18
579,433,18,18
578,438,18,18
581,439,18,18
575,442,18,17
579,450,18,17
585,453,18,17
572,453,18,17
582,457,18,17
586,477,18,17
587,467,17,16
586,470,18,16
594,470,17,17
578,476,17,16
588,476,17,17
576,486,17,17
588,488,17,17
586,485,17,16
594,485,17,16
593,493,17,16
587,486,17,16
589,490,17,16
591,492,17,16
591,502,17,16
592,506,17,16
601,502,17,16
600,510,17,16
595,516,17,16
582,513,17,16
595,515,17,16
598,513,17,16
597,506,17,16
603,522,17,16
600,520,17,16
597,521,17,16
596,524,17,16
604,523,17,16
594,527,17,16
601,517,17,16
603,538,17,16
597,523,18,16
592,523,18,16
596,528,18,16
595,527,18,16
598,525,18,16
598,530,18,17
589,534,18,17
593,535,17,17
595,537,17,17
601,536,17,18
607,533,17,17
601,533,17,17
593,530,17,17
596,533,17,17
600,533,17,17
598,538,18,17
601,531,18,17
608,534,18,17
598,545,18,17
595,541,18,17
600,546,17,17
595,544,17,17
599,539,17,17
605,537,17,17
600,542,17,17
602,544,17,18
605,548,17,18
601,548,17,18
606,545,17,18
603,549,16,18
604,543,16,18
614,542,16,18
604,555,17,18
606,540,17,18
603,544,17,18
616,546,17,18
613,548,17,18
617,558,17,18
617,551,17,18
629,554,17,18
626,556,17,18
637,563,18,18
641,553,18,17
637,553,18,17
645,551,18,18
655,560,18,17
652,558,18,17
663,569,18,17
669,563,19,18
678,558,19,18
694,579,19,18
692,560,19,18
696,567,19,18
704,571,19,18
711,577,19,19
719,558,19,19
727,575,19,19
740,570,20,19
